20:52:45 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260517.log
20:52:49 | DEBUG   | EXTERN   | = connection is CONNECTING
20:52:49 | DEBUG   | EXTERN   | > GET /api/events/in HTTP/1.1
20:52:49 | DEBUG   | EXTERN   | > Host: 127.0.0.1:4200
20:52:49 | DEBUG   | EXTERN   | > Upgrade: websocket
20:52:49 | DEBUG   | EXTERN   | > Connection: Upgrade
20:52:49 | DEBUG   | EXTERN   | > Sec-WebSocket-Key: 5mi08XWj6ZhsPFkYgqDfNw==
20:52:49 | DEBUG   | EXTERN   | > Sec-WebSocket-Version: 13
20:52:49 | DEBUG   | EXTERN   | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
20:52:49 | DEBUG   | EXTERN   | > Sec-WebSocket-Protocol: prefect
20:52:49 | DEBUG   | EXTERN   | > User-Agent: Python/3.11 websockets/16.0
20:52:49 | DEBUG   | EXTERN   | < HTTP/1.1 101 Switching Protocols
20:52:49 | DEBUG   | EXTERN   | < Upgrade: websocket
20:52:49 | DEBUG   | EXTERN   | < Connection: Upgrade
20:52:49 | DEBUG   | EXTERN   | < Sec-WebSocket-Accept: Cio+XtiVBSWRxM3zc5qbAW10PSI=
20:52:49 | DEBUG   | EXTERN   | < Sec-WebSocket-Extensions: permessage-deflate
20:52:49 | DEBUG   | EXTERN   | < Sec-WebSocket-Protocol: prefect
20:52:49 | DEBUG   | EXTERN   | < date: Sun, 17 May 2026 19:52:48 GMT
20:52:49 | DEBUG   | EXTERN   | < server: uvicorn
20:52:49 | DEBUG   | EXTERN   | = connection is OPEN
20:52:49 | DEBUG   | EXTERN   | > PING 1f 8c 38 02 [binary, 4 bytes]
20:52:49 | DEBUG   | EXTERN   | < PONG 1f 8c 38 02 [binary, 4 bytes]
20:52:49 | DEBUG   | EXTERN   | > TEXT '{"type":"auth","token":null}' [28 bytes]
20:52:49 | DEBUG   | EXTERN   | < TEXT '{"type":"auth_success"}' [23 bytes]
20:52:49 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-17T19:52:48.855577Z","even...648cfd","follows":null}' [473 bytes]
20:52:49 | INFO    | SILVER   | ══ SILVER FLOW — Full Init | dry_run=False
20:52:49 | INFO    | SILVER   | [VAL] Validation Bronze : ['infrastructure', 'itsm', 'cybersecurity', 'applications', 'parc_auto', 'itam', 'maintenance', 'gouvernance']
20:52:49 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-17T19:52:49.385557Z","even...0bd45b","follows":null}' [1366 bytes]
20:52:49 | DEBUG   | EXTERN   | > TEXT '{"occurred":"2026-05-17T19:52:49.386557Z","even...b4a-8f2e-b05fd20bd45b"}' [1511 bytes]
20:52:49 | INFO    | SILVER   | [VAL][infrastructure] ✅
20:52:49 | INFO    | SILVER   | [VAL][itsm] ✅
20:52:49 | INFO    | SILVER   | [VAL][cybersecurity] ✅
20:52:49 | INFO    | SILVER   | [VAL][applications] ✅
20:52:49 | INFO    | SILVER   | [VAL][parc_auto] ✅
20:52:49 | INFO    | SILVER   | [VAL][itam] ✅
20:52:49 | INFO    | SILVER   | [VAL][maintenance] ✅
20:52:49 | INFO    | SILVER   | [VAL][gouvernance] ✅
20:52:49 | INFO    | SILVER   | [VAL] 8/8 domaines validés
