15:24:41 | DEBUG   | EXTERN   | > PING d2 f1 e6 65 [binary, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | % sent keepalive ping
15:24:41 | DEBUG   | EXTERN   | > PING ')\x0bh\x0c' [text, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | % sent keepalive ping
15:24:41 | DEBUG   | EXTERN   | < PING 2f 83 d2 18 [binary, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | > PONG 2f 83 d2 18 [binary, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | < PONG d2 f1 e6 65 [binary, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | < PONG ')\x0bh\x0c' [text, 4 bytes]
15:24:41 | DEBUG   | EXTERN   | % received keepalive pong
15:24:41 | DEBUG   | EXTERN   | % received keepalive pong
15:24:44 | INFO    | SERVE    | 📁 Logs pipeline → C:\Users\tacht\dashboard360_novec\logs\novec_pipeline_20260515.log
15:24:46 | INFO    | BRONZE   | ══ BRONZE FLOW — Infrastructure | backfill=1 | dry_run=False
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.piping.pipe(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.rendering.render(['renderer', 'formatter', 'neato_no_op', 'quiet'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.unflattening.unflatten(['stagger', 'fanout', 'chain', 'encoding'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.backend.viewing.view(['quiet'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.quote(['is_html_string', 'is_valid_id', 'dot_keywords', 'endswith_odd_number_of_backslashes', 'escape_unescaped_quotes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.a_list(['kwargs', 'attributes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.quoting.attr_list(['kwargs', 'attributes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.clear(['self', 'keep_attrs'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.__iter__(['self', 'subgraph'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.node(['label', '_attributes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.edge(['label', '_attributes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.attr(['kw', '_attributes'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.dot.Dot.subgraph(['graph', 'name', 'comment', 'graph_attr', 'node_attr', 'edge_attr', 'body'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.piping.Pipe._pipe_legacy(['format', 'renderer', 'formatter', 'neato_no_op', 'quiet'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.saving.Save.save(['filename', 'directory'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.render(['filename', 'directory', 'view', 'cleanup', 'format', 'renderer', 'formatter', 'neato_no_op', 'quiet', 'quiet_view'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.rendering.Render.view(['filename', 'directory', 'cleanup', 'quiet', 'quiet_view'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.unflattening.Unflatten.unflatten(['self', 'stagger', 'fanout', 'chain'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.graphs.BaseGraph.__init__(['name', 'comment', 'filename', 'directory', 'format', 'engine', 'encoding', 'graph_attr', 'node_attr', 'edge_attr', 'body', 'strict'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.from_file(['filename', 'directory', 'format', 'engine', 'encoding', 'renderer', 'formatter'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.__init__(['source', 'filename', 'directory', 'format', 'engine', 'encoding'])
15:24:46 | DEBUG   | EXTERN   | deprecate positional args: graphviz.sources.Source.save(['filename', 'directory'])
15:24:46 | INFO    | BRONZE   | [BRONZE][infra] Backfill 1 jour(s)
15:24:46 | INFO    | BRONZE   | [BRONZE][infra] ✅ 75 lignes → Bronze.staging_infrastructure
15:24:46 | INFO    | BRONZE   | ══ BRONZE FLOW — Infrastructure ✅ 75 lignes
15:24:46 | DEBUG   | EXTERN   | = connection is CONNECTING
15:24:46 | DEBUG   | EXTERN   | > GET /api/events/in HTTP/1.1
